ScientistName,preparation,date,components
Сыртланов Максим Сергеевич,Бетаин,1236-02-18,Chemical_35 Chemical_69 Chemical_76
Кобызева Лариса Викторовна,Агонал,1631-02-06,Chemical_78 Chemical_24 Chemical_53
Белюстова Юлия Николаевна,Омепразол,1301-03-25,Chemical_90 Chemical_28 Chemical_52
Недрищев Эдуард Кириллович,Бисопролол,1282-07-28,Chemical_41 Chemical_92 Chemical_79
Остольская Алла Андреевна,Железа препараты,1124-05-18,Chemical_79 Chemical_29 Chemical_64
Хрокин Владимир Кириллович,Бисопролол,1720-05-17,Chemical_14 Chemical_85 Chemical_36
Тоячкова Клавдия Николаевна,Бактрим,1055-10-25,Chemical_17 Chemical_81 Chemical_71
Корастылев Геннадий Валериевич,Амлодипин-валсартан,1453-01-02,Chemical_51 Chemical_44 Chemical_61
Макурин Тарас Вадимович,Колчицин,1204-01-23,Chemical_96 Chemical_13 Chemical_83
Комолятова Екатерина Богдановна,Уоллтапс,0996-12-10,Chemical_28 Chemical_54 Chemical_36
Гайчеров Борис Вадимович,Мелоксикам,1442-08-15,Chemical_45 Chemical_24 Chemical_59
Байгельдин Виталий Данилович,Метопролол,1357-11-24,Chemical_80 Chemical_14 Chemical_67
Шурунова Ксения Сергеевна,Венолайфт,1006-05-14,Chemical_90 Chemical_27 Chemical_78
Костев Яков Тимофеевич,Росувастатин,1761-03-23,Chemical_20 Chemical_51 Chemical_10
Тлугачева Лариса Вадимовна,Допамин,1475-08-05,Chemical_65 Chemical_24 Chemical_84
Шельгов Юрий Данилович,Пропанолол,1871-01-03,Chemical_13 Chemical_65 Chemical_37
Чекушкин Михаил Олегович,Мезим,2005-12-09,Chemical_72 Chemical_88 Chemical_47
Скарбов Антон Иванович,Лантус,1487-07-27,Chemical_17 Chemical_49 Chemical_42
Мокрищева Яна Алексеевна,Железа препараты,1762-11-28,Chemical_56 Chemical_30 Chemical_42
Вахонев Константин Вадимович,Глюкозамин,1913-02-25,Chemical_66 Chemical_24 Chemical_52
Снетовская Зинаида Ивановна,Симвастатин,0978-06-07,Chemical_16 Chemical_79 Chemical_69
Дрыжов Тарас Адамович,Евалар солгар мультивитамини,1721-04-18,Chemical_91 Chemical_42 Chemical_46
Обиралов Александр Иванович,Женьшень,1731-07-11,Chemical_1 Chemical_33 Chemical_49
Калетов Валерий Юриевич,Пропанолол,1981-11-08,Chemical_54 Chemical_61 Chemical_89
Чемеков Антон Аркадиевич,Линезолид,1661-09-10,Chemical_22 Chemical_3 Chemical_87
Фотинова Елена Алексеевна,Мезим,0966-09-04,Chemical_88 Chemical_98 Chemical_34
Капитулов Денис Виталиевич,Ингавирин,1721-01-26,Chemical_88 Chemical_58 Chemical_45
Горбина Надежда Максимовна,Дектанол,1491-01-08,Chemical_32 Chemical_41 Chemical_10
Токманцев Анатолий Андреевич,Бетаметазон,1225-08-21,Chemical_57 Chemical_13 Chemical_18
Завулунова Александра Никитична,Агонал,1142-02-23,Chemical_79 Chemical_49 Chemical_17
Долгицева Алёна Романовна,Лоразепам,1962-02-08,Chemical_68 Chemical_64 Chemical_42
Гамарников Павел Игоревич,Дексаметазон,1357-03-18,Chemical_97 Chemical_86 Chemical_67
Катайкин Владислав Борисович,Парацетамол,1134-06-02,Chemical_75 Chemical_32 Chemical_33
Евтехова Валерия Ивановна,Норматен,1460-08-28,Chemical_57 Chemical_73 Chemical_87
Лузянин Тарас Денисович,Ибупрофен,1490-03-10,Chemical_35 Chemical_40 Chemical_16
Нюхлякова София Василевна,Пентоксифиллин,1106-03-04,Chemical_28 Chemical_27 Chemical_76
Лапичева Вера Евгеньевна,Итрафунгол,1519-09-06,Chemical_35 Chemical_33 Chemical_86
Эрзяйкин Валерий Викторович,Итрафунгол,2018-06-13,Chemical_89 Chemical_38 Chemical_54
Мачишина Галина Аркадьевна,Дикарбазин,0912-11-17,Chemical_100 Chemical_10 Chemical_13
Пыпочкина Виктория Романовна,Кладрибин,1879-12-09,Chemical_48 Chemical_99 Chemical_99
Вольвачев Николай Максимович,Енап,1011-05-06,Chemical_78 Chemical_12 Chemical_96
Давыдочкин Алексей Олегович,Золекс,1079-10-07,Chemical_69 Chemical_65 Chemical_35
Перених Яна Богдановна,Ибупрофен,1452-10-23,Chemical_43 Chemical_1 Chemical_82
Могалина Яна Романовна,Вальтрекс,1651-03-03,Chemical_61 Chemical_40 Chemical_86
Логин Михаил Виталиевич,Преднизолон,1452-12-16,Chemical_88 Chemical_69 Chemical_65
Змеина Валентина Василевна,Кетопрофен,1913-08-20,Chemical_77 Chemical_52 Chemical_61
Белевкин Юрий Алексиевич,Миртазапин,1877-03-27,Chemical_24 Chemical_15 Chemical_71
Писмарев Пётр Юриевич,Енап,1829-07-25,Chemical_55 Chemical_21 Chemical_27
Тулупова Инна Петровна,Жасмин,1171-02-27,Chemical_94 Chemical_38 Chemical_89
Мичкова Оксана Ивановна,Лозартан,1713-11-04,Chemical_66 Chemical_96 Chemical_34
Кашмина Раиса Викторовна,Миртазапин,0901-06-28,Chemical_39 Chemical_40 Chemical_96
Чаругин Михаил Кириллович,Индометацин,1714-01-06,Chemical_81 Chemical_21 Chemical_70
Брмистров Виктор Михаилович,Преднизолон,0921-03-25,Chemical_97 Chemical_56 Chemical_19
Дуржинский Вадим Аркадиевич,Кетопрофен,1100-07-01,Chemical_47 Chemical_21 Chemical_41
Коненев Андрей Андреевич,Кладрибин,1756-05-19,Chemical_47 Chemical_45 Chemical_11
Батреев Ярослав Василиевич,Парацетамол,1744-01-08,Chemical_89 Chemical_46 Chemical_16
Бехметьев Михаил Данилович,Золаир,1931-07-22,Chemical_16 Chemical_85 Chemical_27
Барбакова Анна Борисовна,Железа препараты,1953-04-08,Chemical_43 Chemical_29 Chemical_64
Фенютина Мария Егоровна,Мезим,1391-11-14,Chemical_11 Chemical_60 Chemical_9
Решенин Валерий Петрович,Итрафунгол,1419-09-22,Chemical_29 Chemical_71 Chemical_75
Павленков Евгений Георгиевич,Нитросорбид,0993-05-28,Chemical_96 Chemical_38 Chemical_40
Гучмазова Яна Василевна,Бензоилпероксид,1355-10-26,Chemical_70 Chemical_25 Chemical_95
Верягина Екатерина Егоровна,Индометацин,1162-04-01,Chemical_99 Chemical_86 Chemical_39
Гужова Оксана Ивановна,Дуодарт,1428-09-12,Chemical_57 Chemical_94 Chemical_76
Матавина Алёна Романовна,Нимулид,1025-04-17,Chemical_35 Chemical_28 Chemical_51
Мынеляева Александра Егоровна,Бетаин,1640-02-16,Chemical_85 Chemical_52 Chemical_52
Молчанский Олег Евгеньевич,Бромгексин,1406-11-23,Chemical_4 Chemical_41 Chemical_41
Маменгаева Виолетта Михайловна,Амлодипин-валсартан,1698-08-25,Chemical_66 Chemical_64 Chemical_28
Кимирова Инна Василевна,Пропанолол,1598-03-28,Chemical_45 Chemical_94 Chemical_88
Раковских Виталий Кириллович,Диклофенак,1801-11-02,Chemical_28 Chemical_50 Chemical_4
Налеева Кира Николаевна,Бетаин,1661-10-14,Chemical_91 Chemical_84 Chemical_16
Юхарев Антон Валериевич,Амлодипин,1954-06-22,Chemical_19 Chemical_56 Chemical_72
Габриелова Анастасия Леонидовна,Урсофальк,1871-04-10,Chemical_81 Chemical_15 Chemical_71
Ельников Роман Вадимович,Лоразепам,1171-09-02,Chemical_21 Chemical_45 Chemical_44
Триханкин Игорь Алексеевич,Витамин С,1584-01-15,Chemical_13 Chemical_80 Chemical_57
Соловых Георгий Василиевич,Бисопролол,1782-07-22,Chemical_48 Chemical_28 Chemical_93
Фекарский Валерий Кириллович,Бисопролол,1133-10-24,Chemical_59 Chemical_29 Chemical_67
Кулиничев Степан Максимович,Жасмин,1980-10-03,Chemical_33 Chemical_94 Chemical_96
Кубынов Пётр Максимович,Нимулид,1231-06-21,Chemical_65 Chemical_40 Chemical_31
Шестова Марина Эдуардовна,Гропирон,1484-07-04,Chemical_71 Chemical_33 Chemical_60
Корондова Зинаида Викторовна,Левофлоксацин,2006-06-15,Chemical_95 Chemical_4 Chemical_61
Новых Яна Федоровна,Амлодипин-валсартан,1120-08-21,Chemical_71 Chemical_2 Chemical_35
Акудинова Галина Валерьевна,Пароксетин,1415-06-14,Chemical_42 Chemical_16 Chemical_66
